ap_id,rssi,room_id
Priva,-73,A506
eduroam,-74,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
Novinari,-74,A506
Konferencija,-74,A506
Vijecnici,-74,A506
SDZ,-74,A506
DUMPInternship2020,-74,A506
Radio Data,-52,A506
free_wifi,-73,A506
Priva,-73,A506
eduroam,-74,A506
Novinari,-74,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
Konferencija,-74,A506
SDZ,-74,A506
predavaonice,-75,A506
Radio Data,-52,A506
Priva,-72,A506
eduroam,-72,A506
free_wifi,-73,A506
DUMPInternship2020,-73,A506
fesb-mobile,-73,A506
Novinari,-73,A506
predavaonice,-73,A506
Vijecnici,-74,A506
Konferencija,-74,A506
Radio Data,-55,A506
predavaonice,-69,A506
Konferencija,-71,A506
Novinari,-71,A506
SDZ,-71,A506
Vijecnici,-71,A506
fesb-mobile,-71,A506
free_wifi,-72,A506
DUMPInternship2020,-72,A506
Vijecnici,-73,A506
Radio Data,-56,A506
fesb-mobile,-70,A506
SDZ,-70,A506
fesb-mobile,-71,A506
Novinari,-71,A506
Vijecnici,-71,A506
predavaonice,-71,A506
Konferencija,-71,A506
KTOS,-71,A506
free_wifi,-72,A506
Radio Data,-56,A506
free_wifi,-71,A506
Konferencija,-74,A506
DUMPInternship2020,-74,A506
Novinari,-74,A506
Konferencija,-74,A506
KTOS,-74,A506
eduroam,-75,A506
fesb-mobile,-75,A506
DUMPInternship2020,-75,A506
Radio Data,-56,A506
fesb-mobile,-71,A506
predavaonice,-71,A506
SDZ,-71,A506
free_wifi,-72,A506
Konferencija,-72,A506
eduroam,-72,A506
Novinari,-72,A506
DUMPInternship2020,-73,A506
Vijecnici,-73,A506
Radio Data,-51,A506
fesb-mobile,-69,A506
predavaonice,-69,A506
eduroam,-70,A506
Novinari,-70,A506
Vijecnici,-70,A506
Konferencija,-70,A506
SDZ,-71,A506
free_wifi,-72,A506
DUMPInternship2020,-72,A506
Radio Data,-56,A506
Konferencija,-69,A506
Novinari,-69,A506
Vijecnici,-69,A506
DUMPInternship2020,-69,A506
SDZ,-69,A506
eduroam,-70,A506
fesb-mobile,-70,A506
predavaonice,-71,A506
free_wifi,-72,A506
Radio Data,-51,A506
fesb-mobile,-71,A506
predavaonice,-71,A506
Konferencija,-71,A506
free_wifi,-72,A506
eduroam,-72,A506
Novinari,-72,A506
Vijecnici,-72,A506
DUMPInternship2020,-72,A506
SDZ,-72,A506
Radio Data,-57,A506
Priva,-70,A506
KTOS,-71,A506
free_wifi,-72,A506
fesb-mobile,-73,A506
predavaonice,-74,A506
Novinari,-74,A506
Vijecnici,-74,A506
SDZ,-74,A506
Novinari,-75,A506
Radio Data,-52,A506
eduroam,-72,A506
Konferencija,-72,A506
SDZ,-72,A506
free_wifi,-73,A506
fesb-mobile,-73,A506
DUMPInternship2020,-73,A506
Novinari,-73,A506
Vijecnici,-73,A506
fesb-mobile,-73,A506
Radio Data,-57,A506
Novinari,-69,A506
SDZ,-69,A506
Vijecnici,-70,A506
DUMPInternship2020,-70,A506
fesb-mobile,-70,A506
Konferencija,-70,A506
free_wifi,-71,A506
predavaonice,-71,A506
eduroam,-71,A506
Radio Data,-50,A506
KTOS,-68,A506
Priva,-73,A506
TP-Link_27F9,-74,A506
SDZ,-74,A506
Novinari,-74,A506
Vijecnici,-74,A506
DUMPInternship2020,-74,A506
fesb-mobile,-74,A506
Konferencija,-74,A506
Radio Data,-58,A506
predavaonice,-70,A506
SDZ,-70,A506
eduroam,-71,A506
Novinari,-71,A506
Konferencija,-71,A506
Vijecnici,-71,A506
DUMPInternship2020,-71,A506
fesb-mobile,-72,A506
KTOS,-72,A506
Radio Data,-56,A506
Novinari,-70,A506
DUMPInternship2020,-70,A506
Vijecnici,-71,A506
predavaonice,-71,A506
Konferencija,-71,A506
eduroam,-72,A506
fesb-mobile,-72,A506
SDZ,-72,A506
free_wifi,-73,A506
Radio Data,-53,A506
B-318,-71,A506
fesb-mobile,-72,A506
Konferencija,-72,A506
Vijecnici,-72,A506
SDZ,-72,A506
DUMPInternship2020,-73,A506
predavaonice,-73,A506
eduroam,-73,A506
Novinari,-73,A506
Radio Data,-58,A506
Priva,-71,A506
DIRECT-A8-HP OfficeJet Pro 8730,-71,A506
Novinari,-72,A506
fesb-mobile,-72,A506
Konferencija,-72,A506
SDZ,-72,A506
Vijecnici,-73,A506
DUMPInternship2020,-73,A506
predavaonice,-73,A506
Radio Data,-59,A506
DIRECT-A8-HP OfficeJet Pro 8730,-69,A506
KTOS,-72,A506
B-318,-75,A506
free_wifi,-77,A506
SDZ,-78,A506
Vijecnici,-79,A506
TP-Link_27F9,-80,A506
DUMPInternship2020,-80,A506
predavaonice,-80,A506
Radio Data,-53,A506
free_wifi,-72,A506
KTOS,-74,A506
eduroam,-76,A506
Vijecnici,-76,A506
DUMPInternship2020,-76,A506
fesb-mobile,-76,A506
predavaonice,-76,A506
Konferencija,-76,A506
SDZ,-76,A506
Radio Data,-58,A506
KTOS,-68,A506
free_wifi,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
eduroam,-75,A506
Novinari,-75,A506
Vijecnici,-75,A506
DUMPInternship2020,-75,A506
fesb-mobile,-75,A506
Konferencija,-75,A506
Radio Data,-57,A506
DIRECT-A8-HP OfficeJet Pro 8730,-70,A506
KTOS,-72,A506
Vijecnici,-74,A506
eduroam,-75,A506
Novinari,-75,A506
DUMPInternship2020,-75,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
SDZ,-75,A506
Radio Data,-57,A506
DIRECT-A8-HP OfficeJet Pro 8730,-70,A506
free_wifi,-74,A506
KTOS,-74,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
Konferencija,-75,A506
eduroam,-76,A506
Novinari,-76,A506
Vijecnici,-76,A506
Radio Data,-52,A506
Vijecnici,-75,A506
DUMPInternship2020,-75,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
Konferencija,-75,A506
DIRECT-A8-HP OfficeJet Pro 8730,-75,A506
KTOS,-75,A506
eduroam,-76,A506
SDZ,-77,A506
Radio Data,-63,A506
Priva,-69,A506
Konferencija,-69,A506
SDZ,-69,A506
eduroam,-70,A506
Vijecnici,-70,A506
DUMPInternship2020,-70,A506
Novinari,-71,A506
fesb-mobile,-71,A506
predavaonice,-71,A506
KTOS,-67,A506
Radio Data,-68,A506
Priva,-73,A506
fesb-mobile,-75,A506
DUMPInternship2020,-76,A506
Vijecnici,-77,A506
free_wifi,-78,A506
Novinari,-78,A506
eduroam,-79,A506
B-318,-81,A506
Priva,-67,A506
Konferencija,-69,A506
SDZ,-69,A506
DUMPInternship2020,-70,A506
predavaonice,-70,A506
Vijecnici,-71,A506
eduroam,-73,A506
Novinari,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
Radio Data,-74,A506
Radio Data,-65,A506
Priva,-72,A506
eduroam,-72,A506
Novinari,-72,A506
Vijecnici,-72,A506
DUMPInternship2020,-72,A506
predavaonice,-72,A506
Konferencija,-72,A506
SDZ,-72,A506
KTOS,-72,A506
Radio Data,-64,A506
KTOS,-68,A506
Priva,-69,A506
fesb-mobile,-74,A506
Konferencija,-75,A506
SDZ,-75,A506
eduroam,-75,A506
Novinari,-75,A506
Vijecnici,-75,A506
DUMPInternship2020,-76,A506
Radio Data,-67,A506
Priva,-69,A506
KTOS,-73,A506
free_wifi,-74,A506
DUMPInternship2020,-74,A506
Vijecnici,-74,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
Novinari,-75,A506
eduroam,-75,A506
Radio Data,-64,A506
Priva,-70,A506
predavaonice,-70,A506
Konferencija,-70,A506
SDZ,-70,A506
eduroam,-71,A506
Novinari,-71,A506
Vijecnici,-71,A506
DUMPInternship2020,-71,A506
fesb-mobile,-71,A506
Radio Data,-62,A506
Priva,-69,A506
Novinari,-69,A506
KTOS,-69,A506
eduroam,-70,A506
predavaonice,-71,A506
Konferencija,-71,A506
Vijecnici,-74,A506
DUMPInternship2020,-74,A506
EMLAB,-76,A506
Radio Data,-63,A506
Priva,-69,A506
Novinari,-72,A506
SDZ,-73,A506
eduroam,-73,A506
Vijecnici,-73,A506
KTOS,-73,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
Konferencija,-74,A506
Radio Data,-62,A506
Priva,-68,A506
eduroam,-73,A506
fesb-mobile,-73,A506
KTOS,-73,A506
Novinari,-74,A506
Vijecnici,-74,A506
DUMPInternship2020,-74,A506
Konferencija,-74,A506
SDZ,-74,A506
Radio Data,-67,A506
KTOS,-67,A506
Priva,-72,A506
B-318,-74,A506
SDZ,-74,A506
predavaonice,-75,A506
DUMPInternship2020,-75,A506
eduroam,-76,A506
fesb-mobile,-76,A506
Vijecnici,-76,A506
Radio Data,-67,A506
Priva,-70,A506
eduroam,-75,A506
Novinari,-75,A506
Konferencija,-75,A506
SDZ,-75,A506
KTOS,-75,A506
DUMPInternship2020,-76,A506
Vijecnici,-76,A506
fesb-mobile,-76,A506
Radio Data,-62,A506
KTOS,-68,A506
Priva,-69,A506
predavaonice,-72,A506
Konferencija,-72,A506
Vijecnici,-72,A506
SDZ,-72,A506
fesb-mobile,-72,A506
eduroam,-73,A506
DUMPInternship2020,-73,A506
Radio Data,-66,A506
DUMPInternship2020,-68,A506
predavaonice,-68,A506
Konferencija,-68,A506
fesb-mobile,-69,A506
SDZ,-69,A506
eduroam,-70,A506
Novinari,-70,A506
Vijecnici,-70,A506
Priva,-71,A506
Radio Data,-64,A506
Priva,-68,A506
KTOS,-71,A506
Vijecnici,-72,A506
fesb-mobile,-72,A506
SDZ,-72,A506
eduroam,-73,A506
DUMPInternship2020,-73,A506
predavaonice,-73,A506
Konferencija,-73,A506
Radio Data,-66,A506
Konferencija,-68,A506
eduroam,-68,A506
DUMPInternship2020,-68,A506
predavaonice,-68,A506
SDZ,-69,A506
Novinari,-69,A506
KTOS,-69,A506
Priva,-70,A506
Vijecnici,-70,A506
Radio Data,-64,A506
KTOS,-69,A506
Priva,-70,A506
free_wifi,-74,A506
eduroam,-74,A506
Novinari,-74,A506
DUMPInternship2020,-74,A506
predavaonice,-74,A506
Konferencija,-74,A506
SDZ,-74,A506
Priva,-66,A506
Radio Data,-67,A506
KTOS,-69,A506
DUMPInternship2020,-71,A506
predavaonice,-71,A506
Konferencija,-71,A506
Vijecnici,-72,A506
fesb-mobile,-72,A506
eduroam,-72,A506
Novinari,-72,A506
Radio Data,-63,A506
Priva,-68,A506
Novinari,-72,A506
DUMPInternship2020,-72,A506
SDZ,-72,A506
eduroam,-73,A506
Vijecnici,-73,A506
fesb-mobile,-73,A506
predavaonice,-73,A506
Konferencija,-73,A506
Radio Data,-66,A506
Priva,-70,A506
KTOS,-70,A506
free_wifi,-74,A506
eduroam,-74,A506
Novinari,-74,A506
DUMPInternship2020,-74,A506
fesb-mobile,-74,A506
Konferencija,-75,A506
Vijecnici,-75,A506
Radio Data,-64,A506
Priva,-68,A506
KTOS,-68,A506
Konferencija,-69,A506
SDZ,-69,A506
eduroam,-70,A506
Vijecnici,-70,A506
predavaonice,-70,A506
DUMPInternship2020,-71,A506
fesb-mobile,-71,A506
Radio Data,-62,A506
eduroam,-66,A506
Vijecnici,-66,A506
DUMPInternship2020,-66,A506
predavaonice,-66,A506
Konferencija,-66,A506
Priva,-67,A506
Novinari,-67,A506
fesb-mobile,-67,A506
B-318,-75,A506
eduroam,-65,A506
Radio Data,-65,A506
predavaonice,-68,A506
SDZ,-68,A506
Novinari,-68,A506
Vijecnici,-68,A506
DUMPInternship2020,-68,A506
fesb-mobile,-68,A506
Priva,-69,A506
Konferencija,-69,A506
Radio Data,-66,A506
DUMPInternship2020,-67,A506
KTOS,-67,A506
SDZ,-68,A506
eduroam,-68,A506
Novinari,-68,A506
Vijecnici,-68,A506
Priva,-70,A506
predavaonice,-71,A506
Konferencija,-71,A506
Radio Data,-62,A506
predavaonice,-64,A506
Konferencija,-64,A506
SDZ,-64,A506
Vijecnici,-66,A506
fesb-mobile,-66,A506
Priva,-67,A506
DUMPInternship2020,-67,A506
KTOS,-67,A506
Novinari,-69,A506
Radio Data,-66,A506
Priva,-72,A506
eduroam,-72,A506
DUMPInternship2020,-72,A506
Vijecnici,-72,A506
fesb-mobile,-72,A506
predavaonice,-72,A506
SDZ,-72,A506
Novinari,-73,A506
Konferencija,-74,A506
Radio Data,-63,A506
DUMPInternship2020,-70,A506
Priva,-71,A506
Novinari,-71,A506
eduroam,-72,A506
Vijecnici,-72,A506
fesb-mobile,-72,A506
predavaonice,-72,A506
Konferencija,-72,A506
SDZ,-72,A506
Radio Data,-67,A506
Priva,-68,A506
eduroam,-71,A506
Novinari,-71,A506
predavaonice,-72,A506
Konferencija,-72,A506
SDZ,-72,A506
Vijecnici,-72,A506
DUMPInternship2020,-73,A506
fesb-mobile,-74,A506
Radio Data,-64,A506
predavaonice,-70,A506
Konferencija,-70,A506
SDZ,-70,A506
KTOS,-70,A506
Vijecnici,-71,A506
eduroam,-72,A506
DUMPInternship2020,-72,A506
Novinari,-72,A506
fesb-mobile,-72,A506
Radio Data,-64,A506
Priva,-69,A506
Vijecnici,-71,A506
eduroam,-72,A506
Novinari,-72,A506
SDZ,-72,A506
KTOS,-72,A506
DUMPInternship2020,-73,A506
fesb-mobile,-73,A506
predavaonice,-73,A506
Konferencija,-65,A506
eduroam,-67,A506
Novinari,-67,A506
Vijecnici,-67,A506
DUMPInternship2020,-67,A506
Radio Data,-68,A506
SDZ,-68,A506
predavaonice,-69,A506
fesb-mobile,-70,A506
B-318,-77,A506
Novinari,-63,A506
eduroam,-63,A506
fesb-mobile,-63,A506
Konferencija,-63,A506
SDZ,-63,A506
Vijecnici,-64,A506
DUMPInternship2020,-64,A506
predavaonice,-64,A506
Priva,-66,A506
Radio Data,-66,A506
Vijecnici,-63,A506
eduroam,-64,A506
DUMPInternship2020,-64,A506
fesb-mobile,-64,A506
Radio Data,-65,A506
SDZ,-65,A506
Novinari,-65,A506
predavaonice,-65,A506
Konferencija,-65,A506
Priva,-70,A506
Radio Data,-67,A506
Priva,-70,A506
eduroam,-70,A506
Novinari,-70,A506
fesb-mobile,-70,A506
DUMPInternship2020,-70,A506
Konferencija,-70,A506
SDZ,-70,A506
Vijecnici,-71,A506
predavaonice,-71,A506
Radio Data,-64,A506
Priva,-66,A506
KTOS,-69,A506
DIRECT-A8-HP OfficeJet Pro 8730,-71,A506
predavaonice,-73,A506
SDZ,-73,A506
fesb-mobile,-74,A506
Konferencija,-74,A506
free_wifi,-75,A506
Novinari,-75,A506
Radio Data,-64,A506
KTOS,-71,A506
free_wifi,-72,A506
DUMPInternship2020,-77,A506
Vijecnici,-77,A506
fesb-mobile,-77,A506
DIRECT-A8-HP OfficeJet Pro 8730,-77,A506
HP-Print-8F-LaserJet 1102,-78,A506
eduroam,-78,A506
Konferencija,-78,A506
Radio Data,-69,A506
KTOS,-69,A506
free_wifi,-73,A506
EMLAB,-76,A506
TP-Link_27F9,-76,A506
B-318,-77,A506
DIRECT-A8-HP OfficeJet Pro 8730,-79,A506
eduroam,-81,A506
Novinari,-83,A506
eduroam,-84,A506
Radio Data,-64,A506
KTOS,-68,A506
Novinari,-71,A506
Vijecnici,-71,A506
predavaonice,-71,A506
DIRECT-A8-HP OfficeJet Pro 8730,-71,A506
free_wifi,-72,A506
eduroam,-72,A506
DUMPInternship2020,-72,A506
fesb-mobile,-72,A506
Radio Data,-70,A506
KTOS,-71,A506
free_wifi,-72,A506
B-318,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-74,A506
EMLAB,-79,A506
fesb-mobile,-80,A506
Konferencija,-80,A506
Novinari,-80,A506
SDZ,-81,A506
Radio Data,-64,A506
KTOS,-67,A506
free_wifi,-71,A506
TP-Link_27F9,-76,A506
eduroam,-76,A506
SDZ,-77,A506
Vijecnici,-78,A506
DUMPInternship2020,-78,A506
fesb-mobile,-78,A506
Konferencija,-79,A506
Radio Data,-65,A506
free_wifi,-71,A506
KTOS,-72,A506
Vijecnici,-75,A506
predavaonice,-75,A506
SDZ,-75,A506
Novinari,-76,A506
DUMPInternship2020,-76,A506
fesb-mobile,-76,A506
Konferencija,-76,A506
free_wifi,-68,A506
Radio Data,-69,A506
KTOS,-70,A506
DUMPInternship2020,-74,A506
Konferencija,-74,A506
Vijecnici,-75,A506
predavaonice,-75,A506
SDZ,-75,A506
Novinari,-75,A506
DIRECT-A8-HP OfficeJet Pro 8730,-75,A506
KTOS,-66,A506
Radio Data,-69,A506
free_wifi,-72,A506
B-318,-73,A506
TP-Link_27F9,-74,A506
EMLAB,-77,A506
DIRECT-A8-HP OfficeJet Pro 8730,-77,A506
Novinari,-78,A506
eduroam,-79,A506
fesb-mobile,-79,A506
Radio Data,-67,A506
free_wifi,-71,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
KTOS,-73,A506
B-318,-75,A506
TP-Link_27F9,-76,A506
DUMPInternship2020,-77,A506
eduroam,-79,A506
fesb-mobile,-79,A506
Konferencija,-79,A506
Radio Data,-65,A506
KTOS,-69,A506
free_wifi,-71,A506
TP-Link_27F9,-76,A506
eduroam,-78,A506
Novinari,-78,A506
fesb-mobile,-78,A506
predavaonice,-78,A506
Konferencija,-78,A506
EMLAB,-79,A506
Radio Data,-69,A506
KTOS,-69,A506
free_wifi,-73,A506
TP-Link_27F9,-76,A506
predavaonice,-76,A506
SDZ,-76,A506
Konferencija,-77,A506
eduroam,-78,A506
fesb-mobile,-78,A506
Novinari,-78,A506
Radio Data,-68,A506
free_wifi,-70,A506
KTOS,-70,A506
B-318,-75,A506
TP-Link_27F9,-75,A506
DIRECT-A8-HP OfficeJet Pro 8730,-76,A506
EMLAB,-77,A506
predavaonice,-77,A506
eduroam,-77,A506
DUMPInternship2020,-77,A506
Radio Data,-67,A506
KTOS,-69,A506
free_wifi,-72,A506
Novinari,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
fesb-mobile,-75,A506
predavaonice,-76,A506
eduroam,-76,A506
DUMPInternship2020,-76,A506
Konferencija,-77,A506
Radio Data,-69,A506
free_wifi,-72,A506
Priva,-73,A506
B-318,-74,A506
TP-Link_27F9,-75,A506
eduroam,-77,A506
Novinari,-77,A506
DUMPInternship2020,-77,A506
predavaonice,-77,A506
KTOS,-77,A506
Radio Data,-64,A506
KTOS,-67,A506
free_wifi,-71,A506
B-318,-74,A506
Vijecnici,-74,A506
eduroam,-74,A506
fesb-mobile,-74,A506
Novinari,-75,A506
predavaonice,-75,A506
DUMPInternship2020,-75,A506
Radio Data,-64,A506
KTOS,-70,A506
free_wifi,-73,A506
Konferencija,-74,A506
SDZ,-74,A506
Vijecnici,-74,A506
eduroam,-75,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
Novinari,-76,A506
Radio Data,-65,A506
free_wifi,-72,A506
TP-Link_27F9,-75,A506
KTOS,-75,A506
DUMPInternship2020,-79,A506
Novinari,-79,A506
DIRECT-A8-HP OfficeJet Pro 8730,-79,A506
fesb-mobile,-81,A506
DUMPInternship2020,-81,A506
Novinari,-81,A506
Radio Data,-70,A506
KTOS,-71,A506
free_wifi,-72,A506
EMLAB,-78,A506
eduroam,-78,A506
Vijecnici,-79,A506
Konferencija,-79,A506
Novinari,-80,A506
fesb-mobile,-80,A506
predavaonice,-80,A506
Radio Data,-63,A506
Novinari,-71,A506
DUMPInternship2020,-71,A506
predavaonice,-71,A506
SDZ,-71,A506
KTOS,-71,A506
Vijecnici,-72,A506
Konferencija,-72,A506
eduroam,-73,A506
fesb-mobile,-73,A506
Radio Data,-64,A506
free_wifi,-71,A506
KTOS,-73,A506
eduroam,-76,A506
DUMPInternship2020,-76,A506
predavaonice,-76,A506
Novinari,-79,A506
fesb-mobile,-79,A506
TP-Link_27F9,-80,A506
Vijecnici,-80,A506
Radio Data,-68,A506
KTOS,-71,A506
free_wifi,-74,A506
TP-Link_27F9,-75,A506
DUMPInternship2020,-75,A506
eduroam,-76,A506
predavaonice,-77,A506
Novinari,-77,A506
Vijecnici,-77,A506
fesb-mobile,-78,A506
Radio Data,-63,A506
KTOS,-67,A506
free_wifi,-70,A506
fesb-mobile,-73,A506
eduroam,-74,A506
Novinari,-74,A506
B-318,-75,A506
DUMPInternship2020,-75,A506
predavaonice,-75,A506
Konferencija,-75,A506
Radio Data,-64,A506
KTOS,-69,A506
free_wifi,-71,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
B-318,-76,A506
eduroam,-76,A506
fesb-mobile,-76,A506
predavaonice,-76,A506
DUMPInternship2020,-76,A506
Konferencija,-77,A506
Radio Data,-65,A506
KTOS,-71,A506
free_wifi,-72,A506
B-318,-76,A506
eduroam,-76,A506
DUMPInternship2020,-76,A506
Novinari,-76,A506
Vijecnici,-76,A506
fesb-mobile,-76,A506
Konferencija,-76,A506
Radio Data,-65,A506
KTOS,-69,A506
free_wifi,-71,A506
eduroam,-74,A506
Vijecnici,-74,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
B-318,-75,A506
TP-Link_27F9,-75,A506
Novinari,-75,A506
Radio Data,-65,A506
free_wifi,-70,A506
KTOS,-72,A506
B-318,-75,A506
Priva,-75,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
Konferencija,-75,A506
DUMPInternship2020,-75,A506
DIRECT-A8-HP OfficeJet Pro 8730,-75,A506
Radio Data,-64,A506
free_wifi,-71,A506
KTOS,-73,A506
B-318,-74,A506
DIRECT-A8-HP OfficeJet Pro 8730,-74,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
Vijecnici,-75,A506
Priva,-76,A506
eduroam,-76,A506
Radio Data,-65,A506
B-318,-72,A506
free_wifi,-72,A506
KTOS,-72,A506
DIRECT-A8-HP OfficeJet Pro 8730,-76,A506
TP-Link_27F9,-77,A506
DUMPInternship2020,-78,A506
Novinari,-78,A506
Konferencija,-78,A506
Priva,-79,A506
Radio Data,-69,A506
free_wifi,-71,A506
TP-Link_27F9,-71,A506
Priva,-74,A506
fesb-mobile,-74,A506
predavaonice,-74,A506
KTOS,-74,A506
B-318,-75,A506
Vijecnici,-75,A506
Konferencija,-75,A506
Radio Data,-64,A506
KTOS,-67,A506
free_wifi,-71,A506
Novinari,-72,A506
Vijecnici,-72,A506
SDZ,-73,A506
eduroam,-73,A506
DUMPInternship2020,-73,A506
fesb-mobile,-73,A506
predavaonice,-73,A506
Radio Data,-64,A506
KTOS,-67,A506
free_wifi,-70,A506
B-318,-75,A506
TP-Link_27F9,-75,A506
predavaonice,-75,A506
Novinari,-76,A506
fesb-mobile,-76,A506
DUMPInternship2020,-76,A506
SDZ,-76,A506
Radio Data,-67,A506
free_wifi,-71,A506
KTOS,-71,A506
B-318,-76,A506
DIRECT-A8-HP OfficeJet Pro 8730,-76,A506
EMLAB,-78,A506
Priva,-78,A506
DUMPInternship2020,-78,A506
Novinari,-78,A506
fesb-mobile,-78,A506
Radio Data,-64,A506
free_wifi,-72,A506
B-318,-76,A506
KTOS,-77,A506
EMLAB,-78,A506
DIRECT-A8-HP OfficeJet Pro 8730,-78,A506
Priva,-79,A506
Vijecnici,-80,A506
Novinari,-80,A506
Kartular,-81,A506
Radio Data,-64,A506
free_wifi,-72,A506
KTOS,-72,A506
B-318,-75,A506
DUMPInternship2020,-76,A506
eduroam,-77,A506
Priva,-78,A506
Vijecnici,-78,A506
fesb-mobile,-78,A506
Konferencija,-78,A506
Radio Data,-70,A506
free_wifi,-71,A506
EMLAB,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
KTOS,-75,A506
B-318,-76,A506
Novinari,-76,A506
fesb-mobile,-77,A506
eduroam,-77,A506
DUMPInternship2020,-77,A506
Radio Data,-67,A506
KTOS,-69,A506
free_wifi,-72,A506
B-318,-75,A506
Priva,-75,A506
predavaonice,-77,A506
Novinari,-78,A506
EMLAB,-78,A506
eduroam,-79,A506
DIRECT-A8-HP OfficeJet Pro 8730,-79,A506
Radio Data,-53,A506
Priva,-67,A506
DIRECT-A8-HP OfficeJet Pro 8730,-70,A506
B-318,-71,A506
KTOS,-71,A506
free_wifi,-75,A506
eduroam,-76,A506
predavaonice,-77,A506
Konferencija,-78,A506
SDZ,-79,A506
DIRECT-A8-HP OfficeJet Pro 8730,-65,A506
Radio Data,-67,A506
free_wifi,-70,A506
B-318,-75,A506
Priva,-77,A506
KTOS,-77,A506
DUMPInternship2020,-78,A506
eduroam,-81,A506
EMLAB,-81,A506
fesb-mobile,-82,A506
Radio Data,-57,A506
eduroam,-68,A506
Vijecnici,-68,A506
DUMPInternship2020,-68,A506
SDZ,-68,A506
free_wifi,-69,A506
fesb-mobile,-69,A506
DIRECT-A8-HP OfficeJet Pro 8730,-70,A506
Priva,-72,A506
KTOS,-72,A506
Radio Data,-59,A506
free_wifi,-68,A506
eduroam,-68,A506
DUMPInternship2020,-68,A506
KTOS,-68,A506
fesb-mobile,-69,A506
Priva,-75,A506
DIRECT-A8-HP OfficeJet Pro 8730,-76,A506
TP-Link_27F9,-77,A506
EMLAB,-81,A506
free_wifi,-66,A506
predavaonice,-72,A506
Konferencija,-72,A506
Priva,-73,A506
Vijecnici,-73,A506
DUMPInternship2020,-73,A506
SDZ,-73,A506
KTOS,-73,A506
DIRECT-A8-HP OfficeJet Pro 8730,-73,A506
Novinari,-74,A506
Radio Data,-56,A506
free_wifi,-66,A506
KTOS,-69,A506
predavaonice,-72,A506
eduroam,-72,A506
Novinari,-72,A506
Konferencija,-72,A506
Vijecnici,-72,A506
DUMPInternship2020,-72,A506
fesb-mobile,-72,A506
Radio Data,-60,A506
KTOS,-67,A506
B-318,-68,A506
free_wifi,-68,A506
eduroam,-74,A506
DIRECT-A8-HP OfficeJet Pro 8730,-74,A506
fesb-mobile,-75,A506
predavaonice,-75,A506
DUMPInternship2020,-75,A506
Priva,-76,A506
Radio Data,-61,A506
predavaonice,-67,A506
Konferencija,-67,A506
eduroam,-68,A506
free_wifi,-71,A506
Novinari,-71,A506
Vijecnici,-71,A506
DIRECT-A8-HP OfficeJet Pro 8730,-72,A506
TP-Link_27F9,-73,A506
KTOS,-73,A506
Radio Data,-61,A506
free_wifi,-68,A506
DIRECT-A8-HP OfficeJet Pro 8730,-69,A506
KTOS,-70,A506
B-318,-71,A506
Priva,-73,A506
Vijecnici,-77,A506
eduroam,-77,A506
Novinari,-77,A506
DUMPInternship2020,-77,A506
Radio Data,-56,A506
B-318,-68,A506
free_wifi,-68,A506
Novinari,-71,A506
Vijecnici,-71,A506
eduroam,-72,A506
DUMPInternship2020,-72,A506
SDZ,-73,A506
Konferencija,-74,A506
DIRECT-A8-HP OfficeJet Pro 8730,-74,A506
Radio Data,-56,A506
B-318,-67,A506
free_wifi,-67,A506
Vijecnici,-72,A506
DUMPInternship2020,-72,A506
fesb-mobile,-72,A506
KTOS,-72,A506
eduroam,-73,A506
Novinari,-73,A506
predavaonice,-74,A506
Radio Data,-57,A506
free_wifi,-68,A506
DIRECT-A8-HP OfficeJet Pro 8730,-68,A506
eduroam,-71,A506
Konferencija,-71,A506
SDZ,-71,A506
Novinari,-72,A506
Vijecnici,-72,A506
DUMPInternship2020,-72,A506
predavaonice,-72,A506
Radio Data,-59,A506
KTOS,-67,A506
free_wifi,-68,A506
Novinari,-69,A506
Vijecnici,-69,A506
DUMPInternship2020,-69,A506
predavaonice,-69,A506
Konferencija,-69,A506
fesb-mobile,-70,A506
eduroam,-70,A506
Radio Data,-56,A506
DIRECT-A8-HP OfficeJet Pro 8730,-67,A506
B-318,-68,A506
free_wifi,-68,A506
SDZ,-70,A506
Konferencija,-71,A506
eduroam,-73,A506
Novinari,-73,A506
predavaonice,-73,A506
Priva,-74,A506
Radio Data,-56,A506
free_wifi,-68,A506
B-318,-69,A506
Konferencija,-69,A506
